panel_id,week,tg,ii,age,income,education,gender,t_kakao_talk,t_anipang,t_kakao_story,t_kakao_game,t_non_kakao_game,t_non_kakao_story,t_non_kakao_talk,t_non_kakao
10813,2,0,0,5,3,2,Female,673,0,25,0,251,0,1684,20314
10814,1,0,0,3,3,4,Female,3828,0,6864,0,10,0,8168,62524
10814,2,0,0,3,3,4,Female,1204,0,1817,0,7,0,5835,58725
10822,1,0,0,3,3,4,Male,334,0,0,0,9254,0,423,12669
10822,2,0,0,3,3,4,Male,225,0,0,0,28203,0,2573,52577
10831,1,0,0,2,3,3,Male,18315,0,95,0,23446,3719,1074,72247
10831,2,0,0,2,3,3,Male,12906,0,134,157,36577,3009,406,62101
10916,1,0,0,5,4,4,Male,0,0,0,0,0,0,2391,14347
10916,2,0,0,5,4,4,Male,0,0,0,0,0,0,910,33266
10934,1,1,0,3,3,3,Female,5994,0,0,0,0,0,3626,19736
10934,2,1,1,3,3,3,Female,4963,24,0,0,6,0,2029,17349
10944,1,0,0,2,2,4,Male,16959,0,0,0,31354,1332,1215,83567
10944,2,0,0,2,2,4,Male,15175,0,4,0,52854,1267,399,114228
11051,1,0,0,3,4,4,Female,5062,0,279,0,7824,51,2353,23855
11051,2,0,0,3,4,4,Female,2686,0,1892,0,1428,0,14910,26198
11113,1,0,0,3,4,4,Female,11465,0,0,0,2847,0,5502,43285
11113,2,0,0,3,4,4,Female,6607,0,0,0,4613,0,4981,53919
11122,1,0,0,3,3,4,Male,10656,0,4148,0,4560,0,1391,10502
11122,2,0,0,3,3,4,Male,267,0,3393,0,4873,0,486,6299
11139,1,0,0,5,2,2,Female,21324,0,83,0,6005,0,3912,14254
11139,2,0,0,5,2,2,Female,18530,0,0,0,1233,0,3895,10059
11179,1,0,0,3,3,4,Male,20127,0,298,0,0,0,2286,29792
11179,2,0,0,3,3,4,Male,21232,0,106,0,0,0,2749,13068
11205,1,0,0,3,2,2,Female,3829,0,6879,0,0,0,2373,28170
11205,2,0,0,3,2,2,Female,9555,0,8364,0,0,0,762,6769
11208,1,0,0,4,2,2,Male,115,0,314,0,139,118,306,13782
11208,2,0,0,4,2,2,Male,279,0,55,0,2302,0,148,3605
11239,1,0,0,1,1,3,Female,296,0,0,0,63652,0,124,159257
11239,2,0,0,1,1,3,Female,1708,0,0,0,19558,0,313,127847
11241,1,0,0,1,3,1,Male,3715,0,0,0,21661,10155,2841,57741
11241,2,0,0,1,3,1,Male,2681,0,0,0,31932,8354,906,54101
11246,1,0,0,5,2,2,Female,21324,0,83,0,6005,0,3912,14254
11246,2,0,0,5,2,2,Female,18530,0,0,0,1233,0,3895,10059
1125,1,0,0,3,3,4,Male,219,0,307,0,1188,0,97,4303
1125,2,0,0,3,3,4,Male,969,0,754,0,1302,0,6789,17628
11267,1,0,0,5,2,2,Female,0,0,0,0,0,0,3057,10254
